ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45809839,"34,889.00",891,HONDA,Civic,2016,Sedan,Yes,Petrol,2,87768 km,4,Automatic,Front,04-may,Left wheel,Blue,4
45802148,"14,583.00",-,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5 Turbo,132542 km,4,Manual,Front,04-may,Left wheel,White,10
44153312,"38,500.00",639,AUDI,Q5,2014,Jeep,Yes,Petrol,2,87000 km,1,Tiptronic,4x4,04-may,Left wheel,White,12
44679525,"23,521.00",781,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4 Turbo,22000 km,4,Automatic,Front,04-may,Left wheel,Red,6
45418626,"16,935.00",530,FORD,Fusion,2013,Sedan,No,Petrol,1.6 Turbo,83000 km,4,Tiptronic,Front,04-may,Left wheel,Silver,8
45323316,"10,349.00",-,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000 km,4,Automatic,Front,04-may,Right-hand drive,Black,6
45803923,"20,526.00",640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,200279 km,4,Automatic,Front,04-may,Left wheel,Grey,4
45802190,"34,657.00",777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45802203,"36,564.00",1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969 km,4,Automatic,Front,04-may,Left wheel,Black,4
45802120,"30,063.00",934,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45809414,"15,800.00",769,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45797480,"43,952.00",1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643 km,4,Automatic,Front,04-may,Left wheel,Grey,4
45816646,"14,740.00",645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000 km,4,Automatic,Front,04-may,Left wheel,White,8
45624039,"42,337.00",-,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3 Turbo,75000 km,4,Tiptronic,Rear,02-mar,Left wheel,Silver,6
45787521,"18,189.00",-,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000 km,4,Automatic,Front,04-may,Left wheel,Silver,8
45800993,"21,953.00",1187,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000 km,8,Automatic,4x4,04-may,Right-hand drive,White,10
45771208,"21,953.00",781,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053 km,4,Automatic,Front,04-may,Left wheel,Black,0
45801684,"19,121.00",531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362 km,4,Automatic,Front,04-may,Left wheel,Black,4
45732386,"36,065.00",639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191 km,4,Automatic,Front,04-may,Left wheel,White,4
45810513,"16,289.00",642,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,172000 km,4,Automatic,Front,04-may,Left wheel,Grey,4
45792882,"27,284.00",891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,105394 km,4,Tiptronic,Front,04-may,Left wheel,Black,12
45330228,"32,929.00",-,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2.0 Turbo,160000 km,4,Automatic,Rear,02-mar,Left wheel,Black,12
45776745,"18,817.00",-,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8 Turbo,333333 km,4,Manual,Rear,04-may,Left wheel,Black,0
45789555,"15,053.00",-,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000 km,6,Tiptronic,Rear,04-may,Left wheel,Grey,8
45797276,"15,458.00",966,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2,123346 km,4,Automatic,Front,04-may,Left wheel,Black,4
45756975,"15,681.00",1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8,Automatic,4x4,04-may,Left wheel,Silver,0
45776758,"26,657.00",-,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2 Turbo,300000 km,4,Manual,Rear,04-may,Left wheel,White,1
45550733,"10,663.00",988,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400 km,4,Automatic,Front,04-may,Left wheel,Silver,6
44094036,"12,858.00",765,FORD,Focus SE,2015,Sedan,No,Petrol,2,91200 km,4,Automatic,Front,04-may,Left wheel,Sky blue,10
45742789,"12,858.00",-,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000 km,4,Manual,Front,04-may,Left wheel,Silver,2
45783859,"15,000.00",-,BMW,328,2008,Sedan,Yes,CNG,3,210408 km,6,Tiptronic,Rear,04-may,Left wheel,White,12
45731735,"44,752.00",1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000 km,4,Automatic,Front,04-may,Left wheel,Grey,4
45797948,"17,158.00",687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740 km,4,Automatic,Front,04-may,Left wheel,White,4
45782067,"12,231.00",-,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000 km,4,Tiptronic,4x4,04-may,Right-hand drive,White,16
45534351,"11,917.00",11714,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Yes,Petrol,5,150000 km,12,Tiptronic,Rear,04-may,Right-hand drive,White,12
45726679,"25,591.00",640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45803059,"14,897.00",836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,58962 km,4,Automatic,Front,04-may,Left wheel,White,4
45770405,"23,521.00",779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000 km,4,Tiptronic,Front,04-may,Left wheel,White,12
45636958,"16,935.00",765,FORD,Fusion,2015,Sedan,Yes,Petrol,2,71454 km,4,Automatic,Front,04-may,Left wheel,Black,0
45757670,"19,444.00",781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0 km,4,Tiptronic,Front,04-may,Left wheel,Black,6
45733244,"11,604.00",639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,346470 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45797732,"13,328.00",1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444 km,4,Automatic,Front,04-may,Left wheel,Yellow,4
45762683,"17,876.00",-,NISSAN,Serena,2012,Minivan,No,Petrol,2,143000 km,4,Tiptronic,Front,04-may,Right-hand drive,White,12
45732074,"20,071.00",-,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000 km,4,Automatic,4x4,04-may,Left wheel,Silver,8
45731782,"22,894.00",862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444 km,4,Automatic,Front,04-may,Left wheel,Yellow,4
45766794,"15,681.00",-,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000 km,4,Automatic,4x4,02-mar,Left wheel,Blue,6
45764126,"39,829.00",1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8,Automatic,4x4,04-may,Left wheel,Black,0
44698379,"18,660.00",-,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000 km,4,Tiptronic,Front,04-may,Left wheel,Black,6
45770233,"22,580.00",1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930 km,4,Automatic,Rear,04-may,Left wheel,Black,12
45803455,"11,604.00",639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,264872 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45642844,"18,817.00",609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058 km,4,Automatic,Front,04-may,Left wheel,White,12
44921934,"21,169.00",697,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330 km,4,Automatic,4x4,04-may,Left wheel,Grey,8
45451626,"17,876.00",585,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920 km,4,Tiptronic,Front,04-may,Left wheel,Grey,12
45732976,"11,290.00",891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,279787 km,4,Automatic,Front,04-may,Left wheel,Silver,4
44452971,"36,065.00",1399,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200 km,6,Tiptronic,Front,04-may,Left wheel,White,16
45796845,"21,395.00",781,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45733140,"15,681.00",891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,258706 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45810003,"40,070.00",690,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807 km,4,Automatic,Front,04-may,Left wheel,Black,4
44875253,"11,917.00",-,MERCEDES-BENZ,A 170,2008,Hatchback,No,Petrol,1.7,180000 km,4,Automatic,Front,04-may,Left wheel,Golden,8
45729867,"35,927.00",640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,137267 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45801397,"21,012.00",308,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000 km,4,Automatic,4x4,04-may,Left wheel,White,4
45765622,"21,012.00",1823,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358 km,6,Automatic,Front,04-may,Left wheel,Grey,12
45781785,"13,172.00",1361,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176 km,4,Automatic,Front,04-may,Left wheel,White,6
45802035,"15,624.00",707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2,107005 km,4,Automatic,Front,04-may,Left wheel,Grey,4
45801611,"20,005.00",531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997 km,4,Automatic,Front,04-may,Left wheel,White,4
45792460,"36,110.00",924,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728 km,6,Tiptronic,Front,04-may,Left wheel,Silver,8
45802937,"43,880.00",891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,113700 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45675386,"29,479.00",584,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8 Turbo,69000 km,4,Tiptronic,Rear,04-may,Left wheel,Grey,8
45795520,"17,249.00",-,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,2.5,152000 km,4,Variator,Front,04-may,Left wheel,White,12
45802938,"44,213.00",891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,50255 km,4,Automatic,Front,04-may,Left wheel,Red,4
45395938,"21,950.00",831,FORD,Transit,2011,Goods wagon,No,Diesel,2.4 Turbo,125000 km,4,Manual,4x4,04-may,Left wheel,White,2
45793479,"31,500.00",-,NISSAN,Pathfinder,2010,Jeep,Yes,LPG,4,90200 km,6,Tiptronic,4x4,04-may,Left wheel,Black,12
43390500,"20,385.00",-,MITSUBISHI,Delica,2005,Minivan,Yes,Petrol,3,184000 km,6,Automatic,4x4,04-may,Right-hand drive,White,12
45788160,"13,172.00",-,HONDA,Cr-v,2002,Jeep,No,Petrol,2.4,260000 km,4,Automatic,4x4,04-may,Left wheel,Silver,6
45776729,"19,757.00",-,NISSAN,Patrol Y60,1990,Jeep,No,Diesel,2.8 Turbo,222222 km,4,Manual,Rear,04-may,Left wheel,Black,0
45767823,"25,716.00",777,TOYOTA,Camry,2014,Sedan,No,Petrol,2.5,115200 km,4,Automatic,Front,04-may,Left wheel,Silver,8
45810599,"14,426.00",642,CHEVROLET,Orlando,2012,Jeep,Yes,LPG,2,132036 km,4,Automatic,Front,04-may,Left wheel,White,4
45709646,"10,820.00",-,TOYOTA,RAV 4,2001,Jeep,No,Petrol,2,91000 km,4,Automatic,4x4,02-mar,Right-hand drive,Silver,4
45808960,"45,436.00",1172,FORD,Explorer,2011,Jeep,Yes,Petrol,3.5,129177 km,4,Automatic,Front,04-may,Left wheel,White,4
45816333,"11,917.00",893,HYUNDAI,I30,2008,Hatchback,No,Diesel,1.6,201000 km,4,Manual,Front,04-may,Left wheel,Black,8
45802892,"41,281.00",765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,185811 km,4,Automatic,Front,04-may,Left wheel,Black,4
45816588,"15,681.00",-,SUZUKI,Grand Vitara,2008,Jeep,No,Petrol,1.6,98000 km,4,Automatic,4x4,02-mar,Left wheel,Black,12
45798451,"12,544.00",-,TOYOTA,Prius,2007,Hatchback,No,Hybrid,1.5,140000 km,4,Automatic,Front,04-may,Left wheel,Beige,6
45803832,"30,063.00",639,HYUNDAI,Tucson,2014,Jeep,Yes,Diesel,2,120000 km,4,Automatic,Front,04-may,Left wheel,White,4
45801000,"21,639.00",-,HYUNDAI,Veloster,2015,Hatchback,No,Petrol,1.6,17200 km,4,Tiptronic,Front,02-mar,Left wheel,Red,10
44782223,"36,692.00",-,TOYOTA,RAV 4 XLE Sport,2013,Jeep,No,Petrol,2.5,120000 km,4,Tiptronic,Front,04-may,Left wheel,White,0
45453314,"12,231.00",1266,TOYOTA,Aqua,2014,Hatchback,No,Hybrid,1.5,66000 km,4,Variator,Front,04-may,Right-hand drive,Silver,4
45783494,"10,663.00",-,TOYOTA,Prius,2009,Sedan,Yes,Hybrid,1.8,230000 km,4,Variator,Front,04-may,Left wheel,Grey,6
41704944,"19,130.00",2148,MERCEDES-BENZ,CLS 550,2010,Sedan,Yes,Petrol,5.5,157000 km,4,Automatic,Front,04-may,Left wheel,Grey,10
45781861,"15,367.00",640,VOLKSWAGEN,Passat,2013,Sedan,Yes,Diesel,2.0 Turbo,179200 km,4,Tiptronic,Front,04-may,Left wheel,White,16
45731459,"26,594.00",777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,179918 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45536422,"36,065.00",779,TOYOTA,Avalon LIMITED,2013,Sedan,Yes,Hybrid,2.5,92200 km,4,Tiptronic,Front,04-may,Left wheel,Beige,12
45742092,"26,343.00",730,KIA,Cerato K3,2016,Sedan,Yes,Diesel,1.6 Turbo,29000 km,4,Tiptronic,Front,04-may,Left wheel,Silver,8
45768507,"40,142.00",1811,LEXUS,GX 470,2010,Jeep,Yes,Petrol,4.6,357246 km,8,Automatic,4x4,04-may,Left wheel,Grey,0
45506452,"14,000.00",585,HYUNDAI,Elantra,2013,Sedan,No,Petrol,1.8,50000 km,4,Tiptronic,Front,04-may,Left wheel,Grey,10
45809707,"17,923.00",473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,127842 km,4,Automatic,Front,04-may,Left wheel,White,4
45761379,"10,349.00",-,OPEL,Astra G,2003,Hatchback,No,Petrol,1.6,180000 km,4,Manual,Front,04-may,Left wheel,Silver,6
45804525,"22,063.00",836,HYUNDAI,Tucson,2010,Jeep,Yes,Diesel,2,142264 km,4,Automatic,Front,04-may,Left wheel,White,4
45809446,"16,900.00",502,HONDA,FIT,2013,Hatchback,Yes,Petrol,1.5,70000 km,4,Automatic,Front,04-may,Left wheel,Blue,4
45315594,"18,189.00",-,NISSAN,Rogue,2010,Jeep,Yes,Petrol,2.5,122000 km,4,Automatic,4x4,04-may,Left wheel,Silver,4
45770019,"42,651.00",1017,MERCEDES-BENZ,GLA 250,2017,Jeep,Yes,Petrol,2,44995 km,4,Automatic,4x4,04-may,Left wheel,Black,0
45813976,"15,524.00",586,TOYOTA,Prius,2012,Hatchback,No,Hybrid,1.8,122324 km,4,Automatic,Front,04-may,Left wheel,Red,7
45636297,"17,249.00",-,BMW,530,2007,Sedan,Yes,Petrol,3,111111 km,6,Tiptronic,Rear,04-may,Left wheel,Grey,10
45797238,"28,909.00",831,HYUNDAI,Elantra,2017,Sedan,Yes,Diesel,1.6,98000 km,4,Automatic,Front,04-may,Left wheel,White,4
45803460,"14,426.00",639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,169024 km,4,Automatic,Front,04-may,Left wheel,White,4
45769197,"30,734.00",1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,200179 km,6,Automatic,4x4,04-may,Left wheel,Black,12
45787509,"22,580.00",779,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.5,156666 km,4,Automatic,Front,04-may,Left wheel,Black,12
45765365,"49,237.00",1342,TOYOTA,Tacoma,2017,Jeep,Yes,Petrol,2.7,94262 km,4,Automatic,Rear,04-may,Left wheel,White,12
45771597,"22,266.00",-,FORD,Fusion,2013,Sedan,Yes,Petrol,1.6 Turbo,85500 km,4,Automatic,Front,04-may,Left wheel,Black,8
45807457,"33,556.00",765,MERCEDES-BENZ,C 300,2015,Sedan,Yes,Petrol,2,0 km,4,Automatic,Rear,04-may,Left wheel,Black,12
45730558,"39,161.00",831,SSANGYONG,Actyon,2017,Jeep,Yes,Diesel,1.6,73000 km,4,Automatic,Front,04-may,Left wheel,White,4
45815469,"16,308.00",-,FORD,Transit,2008,Microbus,No,Diesel,2.2,180000 km,4,Manual,Front,04-may,Left wheel,White,2
45539130,"17,719.00",-,TOYOTA,Camry,2009,Sedan,Yes,Hybrid,2.4,92000 km,4,Tiptronic,Front,04-may,Left wheel,Sky blue,8
45659883,"43,278.00",1514,LEXUS,GX 460,2011,Jeep,Yes,Petrol,4.6,160138 km,8,Automatic,4x4,04-may,Left wheel,White,0
44810053,"20,385.00",738,CHEVROLET,Cruze,2017,Sedan,No,Petrol,1.4 Turbo,42000 km,4,Tiptronic,Front,>5,Left wheel,Black,12
45804880,"49,858.00",1077,HYUNDAI,Tucson,2019,Jeep,Yes,Diesel,2,48000 km,4,Automatic,Front,04-may,Left wheel,White,4
45787301,"21,326.00",-,MERCEDES-BENZ,CLS 500,2006,Sedan,Yes,Petrol,5,2000 km,8,Automatic,Rear,04-may,Left wheel,Grey,12
45802041,"15,241.00",707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2,117492 km,4,Automatic,Front,04-may,Left wheel,Grey,4
45797839,"15,524.00",1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,56769 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45793323,"27,911.00",-,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8 Turbo,70000 km,4,Tiptronic,Rear,04-may,Left wheel,Beige,8
45782548,"29,793.00",-,MERCEDES-BENZ,S 350,2005,Sedan,Yes,Petrol,3.5,263000 km,4,Automatic,Rear,04-may,Left wheel,Black,0
45797924,"18,208.00",531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,95665 km,4,Automatic,Front,04-may,Left wheel,Grey,4
44006324,"34,497.00",779,TOYOTA,RAV 4 Le,2013,Jeep,No,Petrol,2.5,65350 km,4,Tiptronic,Front,04-may,Left wheel,White,12
45731752,"43,576.00",1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,97129 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45115251,"28,225.00",1079,TOYOTA,CHR,2018,Jeep,No,Petrol,2,24000 km,4,Automatic,Front,04-may,Left wheel,Grey,8
45800731,"18,817.00",738,CHEVROLET,Cruze,2017,Hatchback,Yes,Petrol,1.4,29094 km,4,Automatic,Front,04-may,Left wheel,Grey,0
45810175,"13,172.00",1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6,Automatic,4x4,04-may,Left wheel,Silver,12
45342484,"37,320.00",1055,MERCEDES-BENZ,E 350 áƒáƒ›áƒ’,2013,Sedan,Yes,Petrol,3.5,156800 km,4,Tiptronic,4x4,04-may,Left wheel,Black,12
45504338,"39,201.00",456,TOYOTA,Camry,2015,Sedan,Yes,Hybrid,2.5,35000 km,4,Automatic,Front,04-may,Left wheel,Grey,10
45797233,"36,426.00",880,HYUNDAI,Elantra,2018,Sedan,Yes,LPG,1.6,35643 km,4,Automatic,Front,04-may,Left wheel,White,4
45752253,"12,701.00",900,HONDA,Cr-v,2015,Jeep,Yes,Petrol,2.4,117158 km,4,Automatic,Front,04-may,Left wheel,White,12
45548523,"46,414.00",456,TOYOTA,Avalon,2015,Sedan,Yes,Hybrid,2.5,63645 km,4,Tiptronic,Front,04-may,Left wheel,White,12
45806590,"45,160.00",798,MERCEDES-BENZ,ML 250,2015,Jeep,Yes,Diesel,2.1,197338 km,4,Automatic,4x4,04-may,Left wheel,White,12
45793536,"12,231.00",-,HYUNDAI,Elantra,2013,Coupe,No,Petrol,1.8,77000 km,6,Manual,Front,02-mar,Left wheel,Beige,0
42866899,"22,894.00",-,NISSAN,Pathfinder,2010,Sedan,No,Petrol,4,109100 km,12,Automatic,4x4,04-may,Left wheel,Blue,12
45706976,"11,290.00",-,HONDA,FIT,2013,Sedan,No,Hybrid,1.3,145000 km,4,Automatic,Front,04-may,Right-hand drive,Silver,8
45792706,"14,426.00",-,TOYOTA,Camry,2006,Sedan,Yes,Hybrid,2.4,188800 km,4,Variator,Front,04-may,Left wheel,Grey,8
45543235,"36,065.00",1051,MITSUBISHI,Outlander,2016,Jeep,Yes,Petrol,2.4,39000 km,4,Variator,Front,04-may,Left wheel,Silver,12
45749598,"27,284.00",-,TOYOTA,Camry SE,2014,Sedan,Yes,Petrol,2.5,52000 km,4,Tiptronic,Front,04-may,Left wheel,Black,12
45617361,"21,639.00",1091,SUBARU,Forester,2016,Jeep,No,Petrol,2.5,34000 km,4,Variator,4x4,04-may,Left wheel,White,7
45804791,"24,198.00",640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,124000 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45809396,"25,365.00",502,HONDA,FIT,2013,Hatchback,Yes,Petrol,1.5,34682 km,4,Automatic,Front,04-may,Left wheel,Grey,4
45806345,"17,249.00",586,TOYOTA,Prius,2012,Sedan,No,Hybrid,1.8,22400 km,4,Automatic,Front,04-may,Left wheel,White,8
45756945,"31,361.00",639,HYUNDAI,Sonata,2014,Sedan,Yes,Petrol,2.0 Turbo,62000 km,4,Tiptronic,Front,04-may,Left wheel,White,12
45809778,"12,720.00",645,CHEVROLET,Cruze,2011,Sedan,Yes,Petrol,1.8,135759 km,4,Automatic,Front,04-may,Left wheel,Grey,4
45804848,"26,372.00",640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,120534 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45786770,"13,485.00",-,BMW,X5,2003,Jeep,Yes,LPG,3,189000 km,6,Tiptronic,4x4,04-may,Right-hand drive,Black,10
45730143,"25,591.00",528,HYUNDAI,Elantra,2014,Sedan,Yes,Petrol,1.6,140000 km,4,Automatic,Front,04-may,Left wheel,White,4
45764921,"39,829.00",1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8,Automatic,4x4,04-may,Left wheel,Black,0
45620554,"13,172.00",1793,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,5.5,325811 km,8,Automatic,4x4,04-may,Left wheel,Black,12
45811316,"12,388.00",919,BMW,X5,2012,Jeep,Yes,Diesel,3,420794 km,6,Automatic,4x4,04-may,Left wheel,Black,12
45782212,"18,503.00",-,HYUNDAI,Sonata,2012,Sedan,No,Hybrid,2,280480 km,4,Automatic,Front,04-may,Left wheel,Silver,9
45624104,"12,231.00",574,HONDA,Insight,2010,Sedan,No,Hybrid,1.3,150000 km,4,Variator,Front,04-may,Left wheel,Black,12
45796881,"17,054.00",862,HYUNDAI,H1,2011,Universal,Yes,Diesel,2.5,237853 km,4,Automatic,Front,04-may,Left wheel,Silver,4
